epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
103,546.681,0.74174,0.3748,0.00586,0.89284,0.81683,0.88468,0.58852,1.36398,0.65518,0.00948,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,551.932,0.73785,0.37309,0.00585,0.8941,0.82399,0.8778,0.59006,1.40746,0.67301,0.00952,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,557.206,0.73792,0.37006,0.00584,0.88683,0.79511,0.85372,0.56619,1.4483,0.67637,0.00982,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,562.487,0.7403,0.37263,0.0058,0.84631,0.72639,0.80494,0.55801,1.41408,0.82213,0.00952,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,567.768,0.72548,0.37145,0.00586,0.8612,0.77306,0.84952,0.58952,1.36197,0.6551,0.0091,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,573.03,0.73159,0.37267,0.00569,0.84313,0.78955,0.84079,0.58067,1.37591,0.78851,0.00975,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,578.308,0.7282,0.35881,0.00564,0.84267,0.81442,0.88009,0.6,1.32877,0.71047,0.00884,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,583.589,0.71486,0.36501,0.00561,0.87189,0.85927,0.91359,0.63239,1.27677,0.63181,0.00831,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,588.889,0.73859,0.36766,0.00575,0.84548,0.82485,0.88645,0.61994,1.28547,0.721,0.00851,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,594.174,0.72455,0.3621,0.00567,0.85856,0.8364,0.87945,0.59805,1.38431,0.65878,0.00933,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,599.438,0.71541,0.34883,0.00559,0.8744,0.73996,0.83605,0.58077,1.39084,0.80218,0.0092,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
