epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,387.447,0.8875,0.4338,0.00648,0.87833,0.83782,0.91341,0.61491,1.1704,0.5926,0.0083,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,395.222,0.88774,0.44733,0.00657,0.91283,0.78293,0.89123,0.60811,1.17085,0.65145,0.00853,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,402.93,0.88283,0.43537,0.00649,0.88256,0.86546,0.91441,0.60282,1.15725,0.54873,0.00886,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,410.65,0.88463,0.43402,0.0063,0.82453,0.84743,0.88789,0.58388,1.22024,0.5953,0.00945,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,418.37,0.87562,0.4184,0.00634,0.8994,0.86105,0.91339,0.63117,1.11294,0.55072,0.00791,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,426.087,0.87534,0.43013,0.00635,0.89235,0.80802,0.89342,0.59609,1.19145,0.66402,0.0088,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,433.781,0.87406,0.43061,0.00638,0.82472,0.87823,0.89265,0.60311,1.1718,0.57629,0.00908,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,441.539,0.87541,0.43544,0.00634,0.89793,0.84185,0.9206,0.62453,1.10504,0.55139,0.00826,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,449.269,0.87191,0.43228,0.00634,0.89856,0.89501,0.93039,0.62926,1.11325,0.48853,0.00766,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,457.013,0.87429,0.42264,0.00635,0.87359,0.86066,0.92438,0.63454,1.11508,0.53143,0.00773,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,464.73,0.85933,0.42303,0.00614,0.88034,0.74567,0.82094,0.55186,1.27355,0.77924,0.00986,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,472.451,0.86298,0.40989,0.00617,0.88043,0.8666,0.91261,0.6218,1.12011,0.53542,0.00816,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,480.142,0.85947,0.4116,0.00611,0.89888,0.84961,0.92361,0.62214,1.10722,0.54946,0.00816,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,487.834,0.86198,0.42007,0.00633,0.88582,0.84987,0.90583,0.62133,1.12225,0.57804,0.00816,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,495.566,0.84599,0.40994,0.00619,0.87434,0.86564,0.91612,0.63678,1.07108,0.57817,0.00763,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,503.318,0.84861,0.42073,0.00616,0.90798,0.8584,0.91183,0.6329,1.1355,0.59037,0.00851,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,511.023,0.85605,0.41179,0.0062,0.90991,0.84756,0.91535,0.65941,1.0651,0.52593,0.00752,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,518.742,0.85177,0.41491,0.00622,0.89276,0.86684,0.92386,0.64625,1.07986,0.54367,0.00783,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,526.474,0.85201,0.41324,0.00628,0.86213,0.8387,0.91006,0.63171,1.07623,0.5763,0.00747,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,534.228,0.83885,0.40985,0.00612,0.90105,0.88525,0.93145,0.63498,1.10144,0.51506,0.00772,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,541.946,0.83273,0.40503,0.00613,0.86435,0.87565,0.91979,0.64737,1.05966,0.53382,0.00767,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,549.67,0.84187,0.41203,0.0061,0.89399,0.81577,0.8838,0.59474,1.19191,0.60329,0.00854,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,557.386,0.83588,0.39518,0.00598,0.90588,0.86496,0.92987,0.63828,1.0764,0.52282,0.00754,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,565.139,0.82836,0.39904,0.00596,0.8855,0.84751,0.90356,0.61161,1.11254,0.55213,0.00764,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,572.82,0.83303,0.40126,0.00593,0.88151,0.86707,0.92745,0.64141,1.06962,0.53745,0.00733,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,580.536,0.84009,0.39652,0.00603,0.89762,0.84102,0.91692,0.62996,1.13457,0.57517,0.00803,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
